Instr Addr,Branch target,Num times taken
 ffffffe000044820, ffffffe00002b7fa,4
 ffffffe00002b802, ffffffe00002b806,4
 ffffffe00002b81c, ffffffe00002c452,4
 ffffffe00002de4a, ffffffe00002de4e,4
 ffffffe00002de52, ffffffe00002de54,4
 ffffffe00002de5a, ffffffe00002de5e,4
 ffffffe00002de6e, ffffffe00002de72,4
 ffffffe00002de78, ffffffe00002dde8,4
 ffffffe00002ddf6, ffffffe00002ddf8,4
 ffffffe00002ddfa, ffffffe00002ddfc,4
 ffffffe00002ddfe, ffffffe00002de12,4
 ffffffe00002de16, ffffffe00002de1a,4
 ffffffe00002de24, ffffffe00002de7c,4
 ffffffe00002de84, ffffffe00002de8c,4
 ffffffe00002de98, ffffffe00002deae,4
 ffffffe00002deb6, ffffffe00002c45a,4
 ffffffe00003d5b4, ffffffe00003d648,4
 ffffffe0002321a0, ffffffe000232120,4
 ffffffe00003c516, ffffffe00003c51a,4
 2000084bb4, 2000084b56,3
 2000084b76, 2000084af4,3
 20000856a0, 20000856a4,3
 20000856ac, 20000856b0,3
 20000856b0, 20000856b4,3
 20000856b8,2000085738,3
 20000853ba, 20000853d0,3
 20000853d2, 2000083c3c,3
 2000083c84, 2000083cec,3
 2000083cf0, 2000083c8c,3
 2000083c8c, 2000083c90,3
 2000083c9a,2000084576,3
2000084594,2000084598,3
 20000845ac, 20000845ae,3
 20000845ae, 20000c78e6,3
 20000c7902, 20000c7904,3
 ffffffe000081970, ffffffe000094a80,3
 ffffffe000094a88, ffffffe000094418,3
 ffffffe000094422, ffffffe000094426,3
 ffffffe00009442a, ffffffe00009442e,3
 ffffffe00009443a, ffffffe00009443c,3
 ffffffe000094442, ffffffe000094446,3
 ffffffe000094446, ffffffe000094a8c,3
 ffffffe000094a90, ffffffe000094a92,3
 ffffffe000094a98, ffffffe000094ab4,3
 ffffffe000094abc, ffffffe000081974,3
 ffffffe000081978, ffffffe00008197a,3
 ffffffe00008198a, ffffffe0000817c8,3
 ffffffe0000817dc, ffffffe0000817de,3
 ffffffe0000817e2, ffffffe0000817e6,3
 ffffffe0000817ec, ffffffe0000817f0,3
 ffffffe0000817f2, ffffffe0000817f6,3
 ffffffe000081806, ffffffe000080e7a,3
 ffffffe000080e7e, ffffffe000080e82,3
 ffffffe000080e84, ffffffe000080e88,3
 ffffffe000080e8c, ffffffe000080e90,3
 ffffffe000080e96, ffffffe000080e9a,3
 ffffffe000080e9c, ffffffe00008180a,3
 ffffffe00008180c, ffffffe00008180e,3
 ffffffe000081812, ffffffe00008181a,3
 ffffffe000081826, ffffffe00008182a,3
 ffffffe000081832, ffffffe00008165a,3
 ffffffe00008166a, ffffffe00008166c,3
 ffffffe00008166c, ffffffe00015e916,3
 ffffffe00015e948, ffffffe00015e6a8,3
 ffffffe00015e6ac, ffffffe00015e6ae,3
 ffffffe00015e6b8, ffffffe00015e6bc,3
 ffffffe00015e6c0, ffffffe00015e94c,3
 ffffffe00015e94c, ffffffe00015e950,3
 ffffffe00015e950, ffffffe00015e954,3
 ffffffe00015e958, ffffffe00015e95c,3
 ffffffe00015e964, ffffffe00015e968,3
 ffffffe00015e96a, ffffffe00015e96e,3
 ffffffe00015e970, ffffffe000164aea,3
 ffffffe000164afe, ffffffe0002346d8,3
 ffffffe0002346e0, ffffffe0002346e4,3
 ffffffe0002346e6, ffffffe000164b02,3
 ffffffe000164b04, ffffffe000164b06,3
 ffffffe000164b10, ffffffe00015e974,3
 ffffffe00015e976, ffffffe00015e97a,3
 ffffffe00015e982, ffffffe00015e986,3
 ffffffe00015e996, ffffffe00015e464,3
 ffffffe00015e474, ffffffe000233afc,3
 ffffffe000233b04, ffffffe000233b10,3
 ffffffe000233b1a, ffffffe000233b1e,3
 ffffffe000233b22, ffffffe000233b24,3
 ffffffe000233b24, ffffffe000233b38,3
 ffffffe000233b3a, ffffffe00015e478,3
 ffffffe00015e478, ffffffe00015e484,3
 ffffffe00015e48e, ffffffe00015e99a,3
 ffffffe00015e99c, ffffffe00015e9a0,3
 ffffffe00015e9ac, ffffffe00015ea62,3
 ffffffe00015ea66, ffffffe00015ea74,3
 ffffffe00015ea78, ffffffe00015ea7c,3
 ffffffe00015ea88, ffffffe00015e9ec,3
 ffffffe00015e9ee, ffffffe00015e9f8,3
 ffffffe00015e9fe, ffffffe00015ea04,3
 ffffffe00015ea06, ffffffe0001334d0,3
 ffffffe0001334e4, ffffffe0001334e8,3
 ffffffe0001334ea, ffffffe0001334fe,3
 ffffffe0001334fe, ffffffe0002322dc,3
 ffffffe000232346,12196,3
 ffffffe000133504, ffffffe0001334f0,3
 ffffffe0001334fc, ffffffe00015ea0a,3
 ffffffe00015ea0e, ffffffe00015ea10,3
 ffffffe00015ea16, ffffffe000161ef2,3
 ffffffe000161f32, ffffffe000161f4e,3
 ffffffe000161f54, ffffffe000233d7c,3
 ffffffe000161f5a, ffffffe000161ad0,3
 ffffffe000161aea, ffffffe000161b22,3
 ffffffe000161b2c, ffffffe000161f5e,3
 ffffffe000161f6c, ffffffe000030e0c,3
 ffffffe000030e2a, ffffffe000161f70,3
 ffffffe000161f78, ffffffe000161f7c,3
 ffffffe000161f96, ffffffe00015f4c0,3
 ffffffe00015f4c0, ffffffe00015f4c2,3
 ffffffe00015f4d2, ffffffe000161f9a,3
 ffffffe000161f9a, ffffffe000161f9e,3
 ffffffe000161fa2, ffffffe000161fac,3
 ffffffe000161fb2, ffffffe000161fb6,3
 ffffffe000161fb6, ffffffe000161fb8,3
 ffffffe000161fc4, ffffffe000233a5c,3
 ffffffe000161fca, ffffffe000163c7c,3
 ffffffe000161fce, ffffffe000161fd2,3
 ffffffe000161fdc, ffffffe000161fe2,3
 ffffffe000161fe8, ffffffe000161fea,3
 ffffffe0001620e6, ffffffe0001620f2,3
 ffffffe0001620f4, ffffffe000162030,3
 ffffffe000162038, ffffffe0001726b2,3
 ffffffe000162040, ffffffe000233a72,3
 ffffffe000162044, ffffffe000162048,3
 ffffffe00016204e, ffffffe000162050,3
 ffffffe00016205c, ffffffe000233a5c,3
 ffffffe000162062, ffffffe000163c7c,3
 ffffffe00016206c, ffffffe0001610d6,3
 ffffffe0001610e0, ffffffe0001610e4,3
 ffffffe0001610e8, ffffffe0001610ec,3
 ffffffe0001610ec, ffffffe0001610f0,3
 ffffffe0001610f2, ffffffe0001611a2,3
 ffffffe0001611aa, ffffffe0001611b8,3
 ffffffe0001611ba, ffffffe0001611bc,3
 ffffffe0001611be, ffffffe0001611c2,3
 ffffffe0001611dc, ffffffe0001726b2,3
 ffffffe0001611de, ffffffe00016114a,3
 ffffffe000161152, ffffffe000162070,3
 ffffffe000162074, ffffffe000233a72,3
 ffffffe000162078, ffffffe00016207c,3
 ffffffe000162080, ffffffe000162082,3
 ffffffe000162086, ffffffe00016208c,3
 ffffffe000162096,30965,3
 ffffffe000030e6c, ffffffe00016209a,3
 ffffffe0001620a0, ffffffe000032ff2,3
 ffffffe0001620a4, ffffffe0001620a8,3
 ffffffe0001620ca, ffffffe00015ea18,3
 ffffffe00015ea1e, ffffffe00015ea22,3
 ffffffe00015ea26, ffffffe00015ea36,3
 ffffffe00015ea36, ffffffe00015ea8a,3
 ffffffe00015ea92, ffffffe00003f206,3
 ffffffe00003f212, ffffffe00015ea96,3
 ffffffe00015eaa0, ffffffe00015ea3a,3
 ffffffe00015ea3c, ffffffe00015e49a,3
 ffffffe00015e4a6, ffffffe000233a72,3
 ffffffe00015e4be, ffffffe000030e6e,3
 ffffffe000030e72, ffffffe000030d86,3
 ffffffe000030dae, ffffffe000030dc0,3
 ffffffe000030dc0, ffffffe000030c90,3
 ffffffe000030ca8, ffffffe000030caa,3
 ffffffe000030cb2, ffffffe000030cb6,3
 ffffffe000030cc2, ffffffe000030d16,3
 ffffffe000030d30, ffffffe000030dc4,3
 ffffffe000030dce, ffffffe000030dd0,3
 ffffffe000030dde, ffffffe00015ea40,3
 ffffffe00015ea42, ffffffe000164b56,3
 ffffffe000164b5c, ffffffe00016624e,3
 ffffffe000166256, ffffffe00016625a,3
 ffffffe00016625a, ffffffe00015ea46,3
